vehicle_id,entry_zone_id,exit_zone_id,entry_time,exit_time,idle_time,direction
32,2,1,140,140,0,2->1
123,0,2,207,207,0,0->2
87,3,0,245,245,0,3->0
83,3,2,257,257,0,3->2
25,2,3,268,268,0,2->3
119,3,0,332,332,0,3->0
48,2,1,335,335,0,2->1
53,2,3,338,338,0,2->3
63,3,2,354,354,0,3->2
44,3,2,355,355,0,3->2
73,3,2,386,386,0,3->2
9,2,3,390,390,0,2->3
92,2,3,513,513,0,2->3
35,3,2,518,518,0,3->2
76,2,3,567,567,0,2->3
161,2,1,590,590,0,2->1
12,2,3,602,602,0,2->3
29,2,3,768,768,0,2->3
276,2,3,794,794,0,2->3
